food,Energy (kcal),Fat (g),Saturated fat (g),Carbohydrates (g),Sugars (g),Proteins (g)
"Ham, Egg, Cheese Breakfast Pizza",500.0,19.7,9.09,53.03,4.55,27.27
Cheese Pizza,526.32,26.32,11.84,47.37,2.63,26.32
Scrambled Eggs,666.67,50.0,13.33,3.33,0.0,46.67
Chicken Kielbasa Sausage,705.88,58.82,14.71,0.0,0.0,41.18
Thyme Roasted Potatoes,488.89,15.56,0.0,75.56,4.44,8.89
Sauteed Spinach,500.0,40.0,0.0,40.0,0.0,20.0
Meatless Sausage Link,466.67,20.0,0.0,26.67,0.0,53.33
Free Range Eggs,666.67,50.0,12.5,0.0,0.0,50.0
Eggs,642.86,42.86,14.29,0.0,0.0,57.14
Egg Whites,428.57,0.0,0.0,0.0,0.0,100.0
Diced Red Bell Peppers,500.0,0.0,0.0,100.0,100.0,0.0
Diced Tomatoes,500.0,0.0,0.0,100.0,50.0,0.0
Sliced Mushrooms,0.0,0.0,0.0,50.0,0.0,50.0
Chopped Green Bell Pepper,0.0,0.0,0.0,100.0,100.0,0.0
 Diced Onions,375.0,0.0,0.0,100.0,50.0,0.0
Diced Bacon,692.31,53.85,15.38,0.0,0.0,46.15
Italian Sausage Crumbles,777.78,55.56,22.22,0.0,0.0,44.44
Shredded Sharp American Cheese,833.33,66.67,50.0,0.0,0.0,33.33
Sour Cream and Chive Scrambled Eggs,700.0,60.0,30.0,2.5,2.5,37.5
Pancakes,441.56,3.9,0.0,85.71,18.18,10.39
old fashioned oatmeal,437.5,6.25,0.0,81.25,0.0,12.5
Hard Boiled Eggs,583.33,41.67,12.5,4.17,0.0,54.17
Cinnamon Sugar,392.86,0.0,0.0,100.0,89.29,0.0
Brown Sugar Topping,384.62,0.0,0.0,100.0,99.52,0.0
Dried Cranberries,366.67,0.0,0.0,100.0,86.67,0.0
Plain Bagel,422.54,2.82,0.0,84.51,5.63,12.68
Cinnamon Raisin Bagel,407.89,2.63,0.0,82.89,9.21,14.47
Everything Bagel,405.41,2.7,0.0,82.43,9.46,14.86
Mini Croissant,523.81,23.81,14.29,66.67,9.52,9.52
Blueberry Muffin,473.68,13.16,5.92,82.89,43.42,3.95
Cinnamon Twist ,413.79,10.34,3.45,82.76,34.48,6.9
Fat Free Cottage Cheese,416.67,0.0,0.0,33.33,16.67,66.67
Cream Cheese,714.29,71.43,42.86,14.29,14.29,14.29
Strawberry Cream Cheese,714.29,57.14,35.71,28.57,21.43,14.29
Butter PC,875.0,100.0,56.25,0.0,0.0,0.0
"Margarine, Smart Balance, 5g",1000.0,100.0,33.33,0.0,0.0,0.0
Watermelon,375.0,0.0,0.0,91.67,75.0,8.33
Red Seedless Grapes,357.14,0.0,0.0,100.0,85.71,0.0
Cubed Pineapple,400.0,0.0,0.0,100.0,80.0,0.0
Cubed Cantaloupe,500.0,0.0,0.0,100.0,100.0,0.0
2% Milk,480.0,20.0,12.0,48.0,48.0,32.0
Skim Milk,400.0,0.0,0.0,60.0,60.0,40.0
Low Fat Chocolate Milk,432.43,8.11,4.05,67.57,67.57,24.32
Rice Milk,458.33,8.33,0.0,87.5,50.0,4.17
Soy Milk,472.73,16.36,0.0,54.55,36.36,29.09
Grapefruit,350.0,0.0,0.0,90.0,60.0,10.0
Apple,388.89,0.0,0.0,100.0,77.78,0.0
Granny Smith Apple,388.89,0.0,0.0,100.0,77.78,0.0
Banana,375.0,0.0,0.0,95.83,50.0,4.17
Orange,400.0,0.0,0.0,93.33,73.33,6.67
Low Fat Strawberry Yogurt,400.0,5.45,3.64,76.36,76.36,18.18
Low Fat Vanilla Yogurt,415.09,1.89,0.0,83.02,60.38,15.09
Granola,488.89,20.0,2.22,73.33,42.22,6.67
Honey,352.94,0.0,0.0,100.0,100.0,0.0
Creamy Peanut Butter,625.0,50.0,9.38,25.0,12.5,25.0
Nutella,526.32,31.58,26.32,63.16,52.63,5.26
Grape Jelly,400.0,0.0,0.0,100.0,73.33,0.0
Orange Marmalade,357.14,0.0,0.0,100.0,85.71,0.0
Strawberry Jelly Preserves,428.57,0.0,0.0,100.0,71.43,0.0
Unsalted Butter,833.33,100.0,58.33,0.0,0.0,0.0
Smart Balance Margarine,900.0,100.0,20.0,0.0,0.0,0.0
1% Cottage Cheese,421.05,5.26,0.0,21.05,21.05,73.68
Mild Picante Salsa,500.0,0.0,0.0,100.0,50.0,0.0
Semi Sweet Chocolate Chips,500.0,30.0,20.0,70.0,60.0,0.0
Oreo Crumbles,538.46,23.08,0.0,76.92,46.15,0.0
Shredded Coconut,600.0,40.0,40.0,60.0,60.0,0.0
Syrup,375.0,0.0,0.0,100.0,33.33,0.0
Waffle Batter,433.57,6.29,0.7,85.31,8.39,8.39
Cheerios,400.0,8.0,0.0,80.0,4.0,12.0
Rice Chex,431.37,1.96,0.0,90.2,7.84,7.84
Cocoa Puffs,411.76,5.88,0.0,88.24,38.24,5.88
Lucky Charms,405.8,4.35,0.0,86.96,34.78,8.7
Cinnamon Toast Crunch,447.37,10.53,1.32,86.84,31.58,2.63
Total Raisin Bran,367.35,2.04,0.0,91.84,36.73,6.12
"Peanut Butter, .75 oz, Jif",619.05,52.38,9.52,23.81,9.52,23.81
"Jelly, Assorted",400.0,0.0,0.0,100.0,70.0,0.0
