food,Energy (kcal),Fat (g),Saturated fat (g),Carbohydrates (g),Sugars (g),Proteins (g)
Pasta with Tomato Clam Sauce,410.96,4.11,0.0,71.23,8.22,24.66
Garlic Breadstick ,470.59,17.65,8.82,70.59,5.88,11.76
Spinach & Feta Pizza,500.0,21.88,10.94,50.0,3.12,28.12
Buffalo Chicken Pizza,476.19,16.67,7.14,40.48,2.38,42.86
Cheese Pizza,526.32,26.32,11.84,47.37,2.63,26.32
Grated Parmesan Cheese,555.56,33.33,22.22,22.22,0.0,44.44
Crushed Red Pepper,500.0,0.0,0.0,100.0,0.0,0.0
Dried Oregano,0.0,0.0,0.0,100.0,0.0,0.0
Garlic Knots,462.69,14.93,0.75,71.64,2.99,13.43
Marinara Sauce,500.0,0.0,0.0,100.0,50.0,0.0
Grilled Marinated Tilapia,512.2,24.39,4.88,2.44,0.0,73.17
Cilantro Lime Brown Rice ,427.18,2.91,0.0,87.38,0.0,9.71
Roasted Carrots ,484.85,21.21,0.0,72.73,36.36,6.06
Smashed Black Beans,448.98,10.2,0.0,65.31,4.08,24.49
Naan Bread,466.67,6.67,0.0,80.0,0.0,13.33
Moroccan Lamb and Tomato,562.5,31.25,9.38,25.0,12.5,43.75
Samosa Chaat,442.62,9.84,1.64,78.69,36.07,11.48
Basmati Rice,407.41,0.0,0.0,92.59,0.0,7.41
Tahini Sauce,642.86,57.14,7.14,28.57,0.0,14.29
creamy overnight oats,450.0,10.0,3.75,70.0,22.5,20.0
Blueberries,428.57,0.0,0.0,100.0,71.43,0.0
Semi Sweet Chocolate Chips,500.0,30.0,20.0,70.0,60.0,0.0
White Chocolate Chips,535.71,32.14,21.43,60.71,60.71,7.14
Shredded Coconut,600.0,40.0,40.0,60.0,60.0,0.0
Oats 'n Honey Granola,472.73,16.36,0.0,72.73,29.09,10.91
Roasted Sunflower Seeds,562.5,50.0,0.0,25.0,0.0,25.0
Dried Cranberries,366.67,0.0,0.0,100.0,86.67,0.0
Golden Raisins,375.0,0.0,0.0,100.0,87.5,0.0
Pitted Dates,363.64,0.0,0.0,95.45,81.82,4.55
Free Range Eggs,666.67,50.0,12.5,0.0,0.0,50.0
Eggs,642.86,42.86,14.29,0.0,0.0,57.14
Egg Whites,428.57,0.0,0.0,0.0,0.0,100.0
Diced Red Bell Peppers,500.0,0.0,0.0,100.0,100.0,0.0
Diced Tomatoes,500.0,0.0,0.0,100.0,50.0,0.0
Baby Spinach,375.0,0.0,0.0,50.0,0.0,50.0
Sliced Mushrooms,0.0,0.0,0.0,50.0,0.0,50.0
Chopped Green Bell Pepper,0.0,0.0,0.0,100.0,100.0,0.0
 Diced Onions,375.0,0.0,0.0,100.0,50.0,0.0
Diced Bacon,692.31,53.85,15.38,0.0,0.0,46.15
Italian Sausage Crumbles,777.78,55.56,22.22,0.0,0.0,44.44
Shredded Sharp American Cheese,833.33,66.67,50.0,0.0,0.0,33.33
Hamburger Patty,621.62,40.54,16.22,0.0,0.0,59.46
Grilled Chicken,500.0,23.33,5.0,0.0,0.0,76.67
All Beef Hot Dog,692.31,65.38,26.92,7.69,3.85,26.92
Onions and Peppers,684.21,57.89,36.84,36.84,15.79,5.26
French Fries,551.72,34.48,0.0,62.07,0.0,3.45
White Hot Dog Bun,415.09,5.66,0.0,79.25,11.32,15.09
White Hamburger Bun,441.18,5.88,0.0,79.41,11.76,14.71
American Cheese Slice,588.24,52.94,29.41,11.76,0.0,35.29
Ginger Miso Glazed PAOW,481.48,18.52,0.0,37.04,18.52,44.44
Edamame,466.67,20.0,1.67,33.33,6.67,46.67
Snap Peas with Red Pepper,615.38,38.46,0.0,46.15,30.77,15.38
tomato soup with garden vegetables,473.68,21.05,2.63,68.42,26.32,10.53
Classic Hummus,452.83,15.09,1.89,62.26,9.43,22.64
Baked Marinated Tofu,518.52,33.33,3.7,22.22,7.41,44.44
Fresh Cantaloupe ,400.0,0.0,0.0,93.33,93.33,6.67
Black Bean and Corn Salad,400.0,8.0,0.0,72.0,8.0,20.0
Red Potato Salad,516.13,25.81,4.84,67.74,6.45,6.45
Beet Salad,480.0,28.0,0.0,64.0,40.0,8.0
Marinated Olives,714.29,85.71,14.29,14.29,0.0,0.0
Oven Barbecued Pork Chops,539.47,25.0,6.58,26.32,18.42,48.68
FIT Tuna Salad,600.0,40.0,3.33,6.67,0.0,53.33
Chicken Salad,619.05,42.86,7.14,0.0,0.0,57.14
Sliced Smoked Ham,538.46,23.08,7.69,0.0,0.0,76.92
Thinly Sliced Deli Turkey Breast,500.0,16.67,0.0,16.67,0.0,66.67
Sliced Capicola,437.5,12.5,0.0,25.0,12.5,62.5
Sliced Genoa Salami,714.29,50.0,17.86,7.14,0.0,42.86
Traditional Hummus,583.33,33.33,0.0,50.0,16.67,16.67
Sliced Swiss Cheese,647.06,52.94,29.41,0.0,0.0,47.06
Sliced Sharp Cheddar Cheese,687.5,56.25,31.25,6.25,0.0,37.5
Sliced Provolone Cheese,625.0,50.0,31.25,6.25,0.0,43.75
Sliced Pepper Jack Cheese,687.5,56.25,31.25,0.0,0.0,43.75
Homemade Potato Chips,686.27,62.75,5.88,35.29,1.96,1.96
Sliced Tomatoes,0.0,0.0,0.0,100.0,0.0,0.0
Sliced Red Bell Pepper,500.0,0.0,0.0,100.0,100.0,0.0
Sliced Red Onion,500.0,0.0,0.0,100.0,100.0,0.0
Bread & Butter Pickles,416.67,0.0,0.0,100.0,83.33,0.0
Chopped Romaine Lettuce,333.33,0.0,0.0,66.67,33.33,33.33
Pesto Mayonnaise,888.89,100.0,16.67,0.0,0.0,0.0
Mayonnaise,900.0,100.0,15.0,0.0,0.0,0.0
Chipotle Garlic Ranch,866.67,93.33,13.33,6.67,6.67,0.0
Dijon Honey Dressing,684.21,63.16,10.53,36.84,31.58,0.0
Yellow Mustard,400.0,20.0,0.0,40.0,0.0,40.0
Creamy Caesar Dressing,833.33,88.89,13.89,5.56,0.0,5.56
Whole Wheat Bread,448.98,6.12,0.0,73.47,8.16,20.41
"12"" Garlic Herb Flour Tortilla",461.54,13.85,6.15,73.85,1.54,12.31
"12"" Spinach Herb Tortilla",460.32,12.7,6.35,74.6,0.0,12.7
"12"" Whole Wheat Flour Tortilla",460.32,14.29,6.35,74.6,6.35,11.11
"12"" Tomato Basil Flour Tortilla",461.54,13.85,6.15,72.31,0.0,13.85
"Signature Bread, Wheat",424.78,5.31,1.33,77.88,5.31,16.81
"Signature Bread, White",429.82,5.26,1.32,80.7,4.39,14.04
Olive Oil,888.89,100.0,12.96,0.0,0.0,0.0
Chicken Caesar Wrap,538.46,32.69,6.73,34.62,1.92,32.69
Chicken Noodle Soup,457.14,8.57,0.0,62.86,11.43,28.57
